ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
501,Super Bowl LIV 2020,What was the final score of Super Bowl LIV?,"Chiefs 31, 49ers 20","Chiefs 28, 49ers 24","Chiefs 35, 49ers 17","Chiefs 25, 49ers 22","Chiefs 31, 49ers 20"
502,Super Bowl LIV 2020,Who was the Super Bowl LIV MVP?,Patrick Mahomes,Travis Kelce,Damien Williams,Mecole Hardman,Patrick Mahomes
503,Super Bowl LIV 2020,How many passing touchdowns did Patrick Mahomes have in Super Bowl LIV?,2,1,3,4,2
504,Super Bowl LIV 2020,How many rushing touchdowns did Patrick Mahomes have in Super Bowl LIV?,1,2,0,3,1
505,Super Bowl LIV 2020,Did the Chiefs overcome a deficit in Super Bowl LIV?,Yes,No,Led entire game,Never trailed,Yes
506,Super Bowl LIV 2020,How many points behind were the Chiefs at halftime of Super Bowl LIV?,10 points,7 points,3 points,14 points,10 points
507,Super Bowl LIV 2020,Was this the Chiefs' first Super Bowl win in how many years?,50 years,40 years,30 years,20 years,50 years
508,Super Bowl LIV 2020,Where was Super Bowl LIV played?,Miami,Atlanta,Tampa,Phoenix,Miami
509,Super Bowl LIV 2020,What was Patrick Mahomes' age at Super Bowl LIV?,24,23,25,26,24
510,Super Bowl LIV 2020,Did Patrick Mahomes become the youngest to win both MVP and Super Bowl?,Yes,No,Tied record,Close,Yes
511,Super Bowl LV 2021,What was the final score of Super Bowl LV?,"Buccaneers 31, Chiefs 9","Buccaneers 28, Chiefs 10","Buccaneers 35, Chiefs 14","Buccaneers 25, Chiefs 3","Buccaneers 31, Chiefs 9"
512,Super Bowl LV 2021,Who won Super Bowl LV?,Tampa Bay Buccaneers,Kansas City Chiefs,San Francisco 49ers,Buffalo Bills,Tampa Bay Buccaneers
513,Super Bowl LV 2021,Who was the MVP of Super Bowl LV?,Tom Brady,Leonard Fournette,Antonio Brown,Rob Gronkowski,Tom Brady
514,Super Bowl LV 2021,How many Super Bowl wins does Tom Brady have total?,7,6,5,8,7
515,Super Bowl LV 2021,Which team was Tom Brady's first Super Bowl win with?,New England Patriots,Tampa Bay Buccaneers,San Francisco 49ers,Detroit Lions,New England Patriots
516,Super Bowl LV 2021,How many interceptions did Patrick Mahomes throw in Super Bowl LV?,2,1,3,0,2
517,Super Bowl LV 2021,How many interceptions did the Buccaneers get in Super Bowl LV?,2,3,1,4,2
518,Super Bowl LV 2021,Did Tom Brady play for the Buccaneers in 2020?,Yes,No,Starting 2021,Mid-season,Yes
519,Super Bowl LV 2021,How many touchdowns did Tom Brady throw in Super Bowl LV?,3,2,4,1,3
520,Super Bowl LV 2021,Was this the first time a team won at home?,No,Yes,Second time,Rare,No
521,Super Bowl LVI 2022,What was the final score of Super Bowl LVI?,"Rams 23, Bengals 20","Rams 25, Bengals 22","Rams 27, Bengals 24","Rams 21, Bengals 17","Rams 23, Bengals 20"
522,Super Bowl LVI 2022,Who was the MVP of Super Bowl LVI?,Cooper Kupp,Matthew Stafford,Aaron Donald,Jalen Ramsey,Cooper Kupp
523,Super Bowl LVI 2022,When did Cooper Kupp score the game-winning touchdown?,1:25 left,2:00 left,1:00 left,1:50 left,1:25 left
524,Super Bowl LVI 2022,How many yards was Cooper Kupp's game-winning touchdown?,1 yard,3 yards,5 yards,7 yards,1 yard
525,Super Bowl LVI 2022,Did the Rams win at their home stadium?,Yes,No,Neutral site,In Cincinnati,Yes
526,Super Bowl LVI 2022,What is the name of the Rams' home stadium?,SoFi Stadium,Crypto.com Arena,Inglewood Stadium,LA Coliseum,SoFi Stadium
527,Super Bowl LVI 2022,How many Super Bowls have the Rams won?,2,1,3,0,2
528,Super Bowl LVI 2022,When did the Rams win their first Super Bowl?,1999,2000,1998,2001,1999
529,Super Bowl LVI 2022,Did Matthew Stafford get his first Super Bowl win?,Yes,No,Second,Third,Yes
531,Super Bowl LVII 2023,What was the final score of Super Bowl LVII?,"Chiefs 38, Eagles 35","Chiefs 35, Eagles 32","Chiefs 40, Eagles 37","Chiefs 36, Eagles 33","Chiefs 38, Eagles 35"
532,Super Bowl LVII 2023,Who kicked the game-winning field goal in Super Bowl LVII?,Harrison Butker,Jake Elliott,Matt Gay,Greg Joseph,Harrison Butker
533,Super Bowl LVII 2023,What was the distance of the game-winning field goal?,27 yards,25 yards,30 yards,22 yards,27 yards
534,Super Bowl LVII 2023,Who was the MVP of Super Bowl LVII?,Patrick Mahomes,Jalen Hurts,Travis Kelce,A.J. Brown,Patrick Mahomes
536,Super Bowl LVII 2023,Did the Chiefs win back-to-back Super Bowls?,Yes,No,2 straight wins,3 straight wins,Yes
537,Super Bowl LVII 2023,How many passing touchdowns did Patrick Mahomes have in Super Bowl LVII?,2,3,1,4,2
538,Super Bowl LVII 2023,How many passing touchdowns did Jalen Hurts have in Super Bowl LVII?,3,2,4,1,3
539,Super Bowl LVII 2023,Where was Super Bowl LVII played?,Phoenix,Tampa,Las Vegas,Miami,Phoenix
540,Super Bowl LVII 2023,How many consecutive Super Bowls has Patrick Mahomes been in?,3,2,4,1,3
541,Super Bowl LVIII 2024,What was the final score of Super Bowl LVIII?,"Chiefs 25, 49ers 22","Chiefs 28, 49ers 25","Chiefs 23, 49ers 20","Chiefs 30, 49ers 27","Chiefs 25, 49ers 22"
542,Super Bowl LVIII 2024,Did Super Bowl LVIII go to overtime?,Yes,No,Double OT,Triple OT,Yes
543,Super Bowl LVIII 2024,Who won Super Bowl LVIII?,Kansas City Chiefs,San Francisco 49ers,Buffalo Bills,Detroit Lions,Kansas City Chiefs
544,Super Bowl LVIII 2024,Who was the MVP of Super Bowl LVIII?,Patrick Mahomes,Travis Kelce,Jerick McKinnon,Christian McCaffrey,Patrick Mahomes
545,Super Bowl LVIII 2024,How many Super Bowl wins does Patrick Mahomes have?,3,2,4,1,3
546,Super Bowl LVIII 2024,Did this make the Chiefs the first back-to-back since 2004?,Yes,No,Third in a row,First ever,Yes
547,Super Bowl LVIII 2024,Who were the 2004 back-to-back champions?,New England Patriots,New York Giants,Green Bay Packers,Dallas Cowboys,New England Patriots
548,Super Bowl LVIII 2024,How many Super Bowl championships does the Kansas City Chiefs franchise have?,4,3,5,2,4
549,Super Bowl LVIII 2024,Did Christian McCaffrey score in Super Bowl LVIII?,Yes,No,Multiple,One TD,Yes
550,Super Bowl LVIII 2024,Where was Super Bowl LVIII played?,Las Vegas,New Orleans,Miami,Phoenix,Las Vegas
551,2020 NFL Season,What was Aaron Rodgers' MVP year?,2020,2019,2021,2018,2020
552,2020 NFL Season,How many passing touchdowns did Aaron Rodgers have in 2020?,48,45,42,50,48
553,2020 NFL Season,How many interceptions did Aaron Rodgers throw in 2020?,5,7,3,10,5
554,2020 NFL Season,What was Aaron Rodgers' passer rating in 2020?,121.5,119.0,123.0,118.5,121.5
555,2020 NFL Season,What was Aaron Rodgers' completion percentage in 2020?,70.7%,68.5%,72.3%,69.1%,70.7%
556,2020 NFL Season,How many passing yards did Aaron Rodgers have in 2020?,"4,299","4,000","4,500","4,150","4,299"
557,2020 NFL Season,What was Aaron Rodgers' age in 2020?,37,36,38,35,37
558,2020 NFL Season,Is 121.5 the second-highest passer rating in NFL history?,Yes,No,Tied,Not even top 5,Yes
559,2020 NFL Season,What is Aaron Rodgers' highest passer rating season?,122.5 in 2011,121.5 in 2020,120.5 in 2014,119.5 in 2019,122.5 in 2011
560,2020 NFL Season,Did the Packers win the NFC North in 2020?,Yes,No,Wild card,Missed playoffs,Yes
561,2021 NFL Season,Did Tom Brady win the MVP in 2021?,No,Yes,Shared,Runner-up,No
562,2021 NFL Season,Who won the 2021 NFL MVP?,Aaron Rodgers,Tom Brady,Josh Allen,Patrick Mahomes,Aaron Rodgers
563,2021 NFL Season,How many passing yards did Tom Brady have in 2021?,"5,316","4,500","4,900","5,100","5,316"
564,2021 NFL Season,Did Tom Brady throw for 40+ touchdowns in 2021?,Yes,No,Exactly 40,39,Yes
565,2021 NFL Season,How many touchdowns did Tom Brady throw in 2021?,43,40,45,38,43
566,2021 NFL Season,How many interceptions did Tom Brady throw in 2021?,12,10,14,8,12
567,2021 NFL Season,Did Tom Brady play in his first Super Bowl with Tampa Bay?,Yes,No,Not yet,Already won,No
568,2021 NFL Season,Did Tom Brady break any records in 2021?,Yes,No,Several,One or two,Yes
570,2021 NFL Season,How many pass attempts did Tom Brady have in 2021?,719,700,650,750,719
571,2022 NFL Season,Who won the 2022 NFL MVP?,Patrick Mahomes,Josh Allen,Jalen Hurts,Lamar Jackson,Patrick Mahomes
572,2022 NFL Season,How many passing yards did Patrick Mahomes have in 2022?,"5,250","5,000","5,500","4,900","5,250"
573,2022 NFL Season,How many passing touchdowns did Patrick Mahomes have in 2022?,41,40,43,38,41
574,2022 NFL Season,How many interceptions did Patrick Mahomes throw in 2022?,12,10,14,8,12
575,2022 NFL Season,What was Patrick Mahomes' passer rating in 2022?,105.2,103.0,107.5,101.5,105.2
576,2022 NFL Season,Was 2022 Patrick Mahomes' second MVP?,Yes,No,Third,First,Yes
577,2022 NFL Season,Did Patrick Mahomes win a Super Bowl MVP in 2022?,Yes,No,Not yet,Later won,Yes
578,2022 NFL Season,How many Super Bowl titles did the Chiefs win through 2022?,3,2,4,1,3
579,2022 NFL Season,What was the Chiefs' record in 2022?,14-3,13-4,15-2,12-5,14-3
580,2022 NFL Season,Did the Chiefs make it to Super Bowl LVI after 2022?,No,Yes,Lost earlier,Missed playoffs,No
581,2023 NFL Season MVP,Who won the 2023 NFL MVP?,Lamar Jackson,Christian McCaffrey,Jalen Hurts,Patrick Mahomes,Lamar Jackson
582,2023 NFL Season MVP,How many MVP votes did Lamar Jackson get in 2023?,49 of 50,48 of 50,50 of 50,47 of 50,49 of 50
583,2023 NFL Season MVP,Who got the one first-place MVP vote instead of Lamar Jackson?,Josh Allen,Christian McCaffrey,Jalen Hurts,Patrick Mahomes,Josh Allen
584,2023 NFL Season MVP,How many passing yards did Lamar Jackson have in 2023?,"4,280","4,000","4,500","3,900","4,280"
585,2023 NFL Season MVP,How many passing touchdowns did Lamar Jackson have in 2023?,31,28,35,25,31
586,2023 NFL Season MVP,How many interceptions did Lamar Jackson throw in 2023?,11,8,14,6,11
587,2023 NFL Season MVP,Was 2023 Lamar Jackson's first unanimous MVP?,No,Yes,Nearly unanimous,Second unanimous,No
588,2023 NFL Season MVP,How many MVP awards does Lamar Jackson have?,3,2,4,1,3
589,2023 NFL Season MVP,Did Lamar Jackson win unanimously in 2019?,Yes,No,Close,Tied,Yes
590,2023 NFL Season MVP,What was Lamar Jackson's passer rating in 2023?,117.0,115.0,119.0,113.5,117.0
591,2023 Season Awards,Who won the 2023 Offensive Player of the Year?,Christian McCaffrey,Lamar Jackson,Jalen Hurts,Josh Allen,Christian McCaffrey
592,2023 Season Awards,How many rushing yards did Christian McCaffrey have in 2023?,"1,459","1,300","1,600","1,200","1,459"
593,2023 Season Awards,How many receiving yards did Christian McCaffrey have in 2023?,564,450,650,400,564
594,2023 Season Awards,How many total rushing and receiving touchdowns did Christian McCaffrey have in 2023?,21,18,24,15,21
595,2023 Season Awards,Did Christian McCaffrey have 17 consecutive games with a touchdown?,Yes,No,19 games,15 games,Yes
596,2023 Season Awards,What record did Christian McCaffrey tie?,Lenny Moore's TD streak,Jerry Rice's receptions,Barry Sanders' rushing,Emmitt Smith's total yards,Lenny Moore's TD streak
