reason,source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,4,Recent Playoffs & Super Bowls,How many times did the Eagles sack Patrick Mahomes in Super Bowl LIX?,6,5,7,8,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,9,Recent Playoffs & Super Bowls,How many consecutive Super Bowls did the Kansas City Chiefs win before losing to the Eagles?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,20,2024 NFL Season Awards,Lamar Jackson has won the MVP award how many times?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,29,Saquon Barkley Records,How many touchdowns did Barkley have in his debut Eagles game against the Packers?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,33,Quarterbacks 2024,"Was Lamar Jackson the first QB to throw for 4,000+ yards and rush for 800+ yards?",Yes,No,He was tied with another QB,Not yet in 2024,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,36,Quarterbacks 2024,How many interceptions did Jalen Hurts throw in the 2024 regular season?,5,7,6,8,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,47,2024 NFL Draft,How many QB's were selected in the first round of the 2024 draft?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,66,Receiving Leaders 2024,How many receiving touchdowns did CeeDee Lamb have in 2024?,6,8,10,5,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,81,NFL Records & History,How many Super Bowls has Tom Brady won?,7,6,5,8,7
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,83,NFL Records & History,How many Super Bowl MVP awards does Tom Brady have?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,102,Super Bowl Winners,How many Super Bowls have the New England Patriots won?,6,5,7,4,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,103,Super Bowl Winners,How many Super Bowls have the Pittsburgh Steelers won?,6,5,7,4,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,104,Super Bowl Winners,How many Super Bowls have the Kansas City Chiefs won?,4,3,2,5,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,105,Super Bowl Winners,How many Super Bowls have the Philadelphia Eagles won?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,106,Super Bowl Winners,How many Super Bowls have the Dallas Cowboys won?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,107,Super Bowl Winners,How many Super Bowls have the San Francisco 49ers won?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,108,Super Bowl Winners,How many Super Bowls have the Green Bay Packers won?,4,3,2,5,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,113,Hall of Fame Quarterbacks,How many MVP awards does Peyton Manning have?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,114,Hall of Fame Quarterbacks,How many MVP awards does Aaron Rodgers have?,4,3,5,2,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,115,Hall of Fame Quarterbacks,How many MVP awards does Tom Brady have?,3,2,4,5,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,127,2024 Season Leaders,Did Brock Bowers set an NFL rookie record for receptions?,Yes,No,Tied,Almost,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,129,2024 Season Leaders,What was Travis Kelce's receiving touchdowns in 2024?,9,8,10,7,9
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,131,Defensive Players 2024,How many interceptions did Patrick Surtain II have in 2024?,4,3,5,6,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,138,Defensive Players 2024,Did Jared Verse finish in the top 5 for defensive rookie of the year voting?,Yes,No,He won it,Close,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,142,Recent Trades & Signings,How many years was Saquon Barkley's contract with the Eagles?,3,4,2,5,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,146,Recent Trades & Signings,How many years was Nate Hobbs' Green Bay Packers contract?,4,3,2,5,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,149,Recent Trades & Signings,How many years was Hollywood Brown's contract with the Chiefs?,1,2,3,4,1
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,159,Team Records & Standings,Did all playoff teams in 2024 win at least 10 games?,Yes,No,Some,One didn't,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,177,Rookie Standouts 2024,How many receiving touchdowns did Brock Bowers have in 2024?,8,10,6,12,8
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,181,Team Achievements 2024,How many consecutive wins did the Philadelphia Eagles have?,8,7,9,6,8
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,183,Team Achievements 2024,Did the Los Angeles Rams and Chargers both qualify for the 2024 playoffs?,Yes,No,One did,Barely,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,185,Team Achievements 2024,Did the Detroit Lions make the playoffs in 2024?,Yes,No,Wild card,As 4 seed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,186,Team Achievements 2024,Did the Detroit Lions win their first playoff game since 1991?,Yes,No,In 2023,Close but no,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,187,Team Achievements 2024,Did the #7 seed Packers beat the #2 seed Cowboys in the 2023 playoffs?,Yes,No,Lost in other round,In Super Bowl,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,188,Team Achievements 2024,Was this the first time a #7 seed won a playoff game since 2020?,Yes,No,No seeds then,2020 was first,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,189,Team Achievements 2024,How many consecutive Super Bowl appearances did the Kansas City Chiefs make?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,194,Historical Comparisons,How many Super Bowl interceptions did Tom Brady throw?,6,5,7,4,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,196,Historical Comparisons,How many Super Bowl interceptions does Patrick Mahomes have?,7,6,8,5,7
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,197,Historical Comparisons,How many Super Bowl appearances does Patrick Mahomes have?,5,4,6,3,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,198,Historical Comparisons,Is Patrick Mahomes currently active in the NFL?,Yes,No,Recently retired,Considering,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,199,Historical Comparisons,Did Mahomes lose Super Bowl LIX?,Yes,No,Won,Didn't play,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,201,Team Histories,How many Super Bowls have the Denver Broncos won?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,202,Team Histories,How many Super Bowls have the Miami Dolphins won?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,203,Team Histories,How many Super Bowls have the Baltimore Ravens won?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,204,Team Histories,How many Super Bowls have the Indianapolis Colts won?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,205,Team Histories,How many Super Bowls have the New York Giants won?,4,3,5,2,4
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,206,Team Histories,How many Super Bowls have the Oakland/Las Vegas Raiders won?,3,2,4,1,3
