source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,33,Quarterbacks 2024,"Was Lamar Jackson the first QB to throw for 4,000+ yards and rush for 800+ yards?",Yes,No,He was tied with another QB,Not yet in 2024,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,127,2024 Season Leaders,Did Brock Bowers set an NFL rookie record for receptions?,Yes,No,Tied,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,138,Defensive Players 2024,Did Jared Verse finish in the top 5 for defensive rookie of the year voting?,Yes,No,He won it,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,159,Team Records & Standings,Did all playoff teams in 2024 win at least 10 games?,Yes,No,Some,One didn't,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,183,Team Achievements 2024,Did the Los Angeles Rams and Chargers both qualify for the 2024 playoffs?,Yes,No,One did,Barely,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,185,Team Achievements 2024,Did the Detroit Lions make the playoffs in 2024?,Yes,No,Wild card,As 4 seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,186,Team Achievements 2024,Did the Detroit Lions win their first playoff game since 1991?,Yes,No,In 2023,Close but no,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,187,Team Achievements 2024,Did the #7 seed Packers beat the #2 seed Cowboys in the 2023 playoffs?,Yes,No,Lost in other round,In Super Bowl,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,188,Team Achievements 2024,Was this the first time a #7 seed won a playoff game since 2020?,Yes,No,No seeds then,2020 was first,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,198,Historical Comparisons,Is Patrick Mahomes currently active in the NFL?,Yes,No,Recently retired,Considering,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,199,Historical Comparisons,Did Mahomes lose Super Bowl LIX?,Yes,No,Won,Didn't play,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,221,Recent Player Transactions,Did Davante Adams get traded in 2024?,Yes,No,Pending,Rumored,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,224,Recent Player Transactions,Did the Eagles acquire any cornerbacks in the 2024 draft?,Yes,No,Two,Traded for,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,225,Recent Player Transactions,Did Xavier Worthy perform well in his rookie season with the Chiefs?,Yes,No,Decent,Struggled,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,227,Recent Player Transactions,Did Braden Fiske have a strong rookie season in 2024?,Yes,No,Decent,Struggled,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,229,Recent Player Transactions,Did any cornerbacks from the Eagles 2024 draft class perform well?,Yes,No,One did,Too early,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,249,Advanced Statistics,Did Jayden Daniels rank in the top 6 for Turnovers Worthy Play rate?,Yes,No,Tied,Just missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,258,Game Statistics,Did Milton Williams cause a fumble in Super Bowl LIX?,Yes,No,Strip sack,Safety,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,259,Game Statistics,Did the Eagles defense blitz at all in Super Bowl LIX?,No,Yes,Once,Multiple times,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,261,Team Victories & Streaks,Did the Eagles have the longest win streak in 2024?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,264,Team Victories & Streaks,Did the Kansas City Chiefs have a long winning streak in 2024?,Yes,No,Moderate,Brief,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,266,Team Victories & Streaks,Did all division winners have at least 10 wins in 2024?,Yes,No,Most did,None,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,267,Team Victories & Streaks,Did the 2024 NFL season have more upsets than normal?,No,Yes,About average,Fewer,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,269,Team Victories & Streaks,Did the Vikings have a strong 2024 season?,Yes,No,Decent,Poor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,270,Team Victories & Streaks,Did the Detroit Lions' #1 seed help them in playoffs?,No,Yes,Didn't matter,Too early,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,276,Player Contracts & Deals,Did D.J. Reed sign a big contract in 2025?,Yes,No,Moderate,Franchise,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,279,Player Contracts & Deals,Did Mekhi Becton sign with any AFC team in 2025?,Yes,No,Jets,Free,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,281,Notable Performances,Did Derrick Henry have a good first season with his new team?,Yes,No,Average,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,282,Notable Performances,Did Marvin Harrison Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,285,Notable Performances,Did Brian Thomas Jr. have a strong rookie season?,Yes,No,Decent,Injured,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,289,Notable Performances,Was Shedeur Sanders drafted in the first round in 2025?,No,Yes,Pending,Undrafted,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,290,Notable Performances,Did the 49ers have any rookie WR perform well in 2024?,Yes,No,Injured,Average,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,293,Coaching Performance,Did Sean Payton coach the Eagles in 2024?,No,Yes,Retired,Interim,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,295,Coaching Performance,Did the Lions have a new head coach in 2024?,No,Yes,Interim,Recently,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,297,Coaching Performance,Did Dan Campbell take a new job in 2025?,No,Yes,Interim,Recently,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,298,Coaching Performance,Did the Ravens have issues with playoff success in 2024?,Yes,No,Mixed,New coach,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,301,Offensive Weapons,Does Josh Allen have adequate receiving weapons?,Yes,No,Some,Getting better,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,304,Offensive Weapons,Did the Bills have good offensive coaching in 2024?,Yes,No,Average,Poor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,305,Offensive Weapons,Does Patrick Mahomes have great receiving weapons?,Yes,No,Some,Lost some,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,307,Offensive Weapons,Does Lamar Jackson have great receiving options?,Yes,No,Some,Limited,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,309,Offensive Weapons,Does Jalen Hurts have elite receiving weapons?,Yes,No,Some,Recently added,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,313,Defensive Excellence,Did the Eagles defense blitz in Super Bowl LIX?,No,Yes,Limited,Few times,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,315,Defensive Excellence,Did the Eagles force turnovers in Super Bowl LIX?,Yes,No,One,None,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,320,Defensive Excellence,Did the Eagles' secondary perform well in 2024?,Yes,No,Average,Mixed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,321,Individual Records & Milestones,Did Saquon Barkley break any team records in 2024?,Yes,No,Multiple,Franchise,Yes
