original_question,rewrite_attempt,reason,source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Did the Eagles defense blitz at all in Super Bowl LIX?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,259,Game Statistics,Did the Eagles defense blitz at all in Super Bowl LIX?,No,Yes,Once,Multiple times,No
Did the 2024 NFL season have more upsets than normal?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,267,Team Victories & Streaks,Did the 2024 NFL season have more upsets than normal?,No,Yes,About average,Fewer,No
Did the Detroit Lions' #1 seed help them in playoffs?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,270,Team Victories & Streaks,Did the Detroit Lions' #1 seed help them in playoffs?,No,Yes,Didn't matter,Too early,No
Was Shedeur Sanders drafted in the first round in 2025?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,289,Notable Performances,Was Shedeur Sanders drafted in the first round in 2025?,No,Yes,Pending,Undrafted,No
Did Sean Payton coach the Eagles in 2024?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,293,Coaching Performance,Did Sean Payton coach the Eagles in 2024?,No,Yes,Retired,Interim,No
Did the Lions have a new head coach in 2024?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,295,Coaching Performance,Did the Lions have a new head coach in 2024?,No,Yes,Interim,Recently,No
Did Dan Campbell take a new job in 2025?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,297,Coaching Performance,Did Dan Campbell take a new job in 2025?,No,Yes,Interim,Recently,No
Does Josh Allen have adequate receiving weapons?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,301,Offensive Weapons,Does Josh Allen have adequate receiving weapons?,Yes,No,Some,Getting better,Yes
Does Patrick Mahomes have great receiving weapons?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,305,Offensive Weapons,Does Patrick Mahomes have great receiving weapons?,Yes,No,Some,Lost some,Yes
Does Lamar Jackson have great receiving options?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,307,Offensive Weapons,Does Lamar Jackson have great receiving options?,Yes,No,Some,Limited,Yes
Does Jalen Hurts have elite receiving weapons?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,309,Offensive Weapons,Does Jalen Hurts have elite receiving weapons?,Yes,No,Some,Recently added,Yes
Did the Eagles defense blitz in Super Bowl LIX?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,313,Defensive Excellence,Did the Eagles defense blitz in Super Bowl LIX?,No,Yes,Limited,Few times,No
Is Jayden Daniels a future Hall of Famer?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,330,Individual Records & Milestones,Is Jayden Daniels a future Hall of Famer?,Possible,No,Too early,Likely,Possible
Was it Cooper DeJean's 22nd birthday?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,333,Fan Favorites & Highlights,Was it Cooper DeJean's 22nd birthday?,Yes,No,21st,23rd,Yes
Did the Eagles hire a new head coach in 2025?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,351,2025 Offseason Moves,Did the Eagles hire a new head coach in 2025?,No,Yes,Promoted interim,From outside,No
Did the Chiefs make major roster changes in 2025?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,352,2025 Offseason Moves,Did the Chiefs make major roster changes in 2025?,No,Yes,Some,Minor,No
Did the Bills make significant trades in 2025?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,353,2025 Offseason Moves,Did the Bills make significant trades in 2025?,No,Yes,Some,Pending,No
Did the Lions make any significant acquisitions?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,355,2025 Offseason Moves,Did the Lions make any significant acquisitions?,No,Yes,Some,Pending,No
Did the Vikings make any significant roster moves?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,356,2025 Offseason Moves,Did the Vikings make any significant roster moves?,No,Yes,Some,Pending,No
Did the Chargers hire Jim Harbaugh in 2024?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,357,2025 Offseason Moves,Did the Chargers hire Jim Harbaugh in 2024?,Yes,No,2023,Pending,Yes
