source,reason,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,33,Quarterbacks 2024,"Was Lamar Jackson the first QB to throw for 4,000+ yards and rush for 800+ yards?",Yes,No,He was tied with another QB,Not yet in 2024,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,127,2024 Season Leaders,Did Brock Bowers set an NFL rookie record for receptions?,Yes,No,Tied,Almost,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,138,Defensive Players 2024,Did Jared Verse finish in the top 5 for defensive rookie of the year voting?,Yes,No,He won it,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,159,Team Records & Standings,Did all playoff teams in 2024 win at least 10 games?,Yes,No,Some,One didn't,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,183,Team Achievements 2024,Did the Los Angeles Rams and Chargers both qualify for the 2024 playoffs?,Yes,No,One did,Barely,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,185,Team Achievements 2024,Did the Detroit Lions make the playoffs in 2024?,Yes,No,Wild card,As 4 seed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,186,Team Achievements 2024,Did the Detroit Lions win their first playoff game since 1991?,Yes,No,In 2023,Close but no,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,187,Team Achievements 2024,Did the #7 seed Packers beat the #2 seed Cowboys in the 2023 playoffs?,Yes,No,Lost in other round,In Super Bowl,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,188,Team Achievements 2024,Was this the first time a #7 seed won a playoff game since 2020?,Yes,No,No seeds then,2020 was first,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,199,Historical Comparisons,Did Mahomes lose Super Bowl LIX?,Yes,No,Won,Didn't play,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,221,Recent Player Transactions,Did Davante Adams get traded in 2024?,Yes,No,Pending,Rumored,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,224,Recent Player Transactions,Did the Eagles acquire any cornerbacks in the 2024 draft?,Yes,No,Two,Traded for,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,225,Recent Player Transactions,Did Xavier Worthy perform well in his rookie season with the Chiefs?,Yes,No,Decent,Struggled,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,227,Recent Player Transactions,Did Braden Fiske have a strong rookie season in 2024?,Yes,No,Decent,Struggled,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,229,Recent Player Transactions,Did any cornerbacks from the Eagles 2024 draft class perform well?,Yes,No,One did,Too early,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,249,Advanced Statistics,Did Jayden Daniels rank in the top 6 for Turnovers Worthy Play rate?,Yes,No,Tied,Just missed,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,258,Game Statistics,Did Milton Williams cause a fumble in Super Bowl LIX?,Yes,No,Strip sack,Safety,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,259,Game Statistics,Did the Eagles defense blitz at all in Super Bowl LIX?,No,Yes,Once,Multiple times,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,261,Team Victories & Streaks,Did the Eagles have the longest win streak in 2024?,Yes,No,Tied,Close,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,264,Team Victories & Streaks,Did the Kansas City Chiefs have a long winning streak in 2024?,Yes,No,Moderate,Brief,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,266,Team Victories & Streaks,Did all division winners have at least 10 wins in 2024?,Yes,No,Most did,None,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,267,Team Victories & Streaks,Did the 2024 NFL season have more upsets than normal?,No,Yes,About average,Fewer,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,269,Team Victories & Streaks,Did the Vikings have a strong 2024 season?,Yes,No,Decent,Poor,Yes
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Could not auto-rewrite,270,Team Victories & Streaks,Did the Detroit Lions' #1 seed help them in playoffs?,No,Yes,Didn't matter,Too early,No
.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,Contains Yes/No options,276,Player Contracts & Deals,Did D.J. Reed sign a big contract in 2025?,Yes,No,Moderate,Franchise,Yes
